Ticker,Status,Gates_Passed,Close,EMA_200,RSI,ADX,OBV,OBV_EMA_20,MACD_Line,Signal_Line,ATR,Aroon_Up,Aroon_Down,RSI_Score,ADX_Score,OBV_Score,Structural_Score,Aroon_Score,Final_Mo_Score
006400.KS,Disqualified,+DI <= -DI | MACD fails conditions,455000.0,418946.21126070444,35.51630780212844,17.37607002221379,42264927.0,42517603.17058951,-31124.67393491912,-22885.958907456894,43699.42537871933,64.28571428571429,100.0,0,0,0,0,0,0
1211,Disqualified,Insufficient History (<250 bars),,,,,,,,,,,,,,,,0
2308.TW,Disqualified,+DI <= -DI | MACD fails conditions,1810.0,1464.2683897756158,31.73425313854777,21.09966681603881,336575452.0,398220756.0996812,-52.58530480971331,1.0549000632022167,119.33051222294507,14.285714285714285,100.0,0,0,0,0,0,0
300750.SZ,Disqualified,+DI <= -DI | MACD fails conditions,381.0,371.8374669857343,40.52740594716663,11.398678983476202,207068246.0,211392691.6680471,-6.362724938631004,-5.919785715439267,16.398530027623643,78.57142857142857,28.57142857142857,0,0,0,0,0,0
336260.KS,Disqualified,+DI <= -DI | MACD fails conditions,51800.0,47697.881457931835,30.468198179188676,24.052338358152955,98812470.0,100242233.32610929,-5517.7742605995445,-2470.7513023470933,7599.23889335381,42.857142857142854,100.0,0,0,0,0,0,0
3407.T,Disqualified,MACD fails conditions,1794.0,1496.3677711497708,57.847372796042414,14.384531890133763,188686900.0,181603006.47847086,27.25175666486757,30.46275904082017,48.4383047226133,71.42857142857143,21.428571428571427,0,0,0,0,0,0
373220.KS,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,331500.0,396231.7980188241,31.42754976865011,14.806273387763328,15195148.0,16362412.898497272,-18095.302696496947,-11545.684320910841,26444.4242435416,35.714285714285715,100.0,0,0,0,0,0,0
5801.T,Disqualified,+DI <= -DI | MACD fails conditions,4528.0,2916.2119878889807,45.98793922270056,14.110243225466776,2943072000.0,2948980988.306013,10.70613015527124,14.806462236737001,445.11523984844564,71.42857142857143,21.428571428571427,0,0,0,0,0,0
600900.SS,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,26.649999618530273,27.351668907156416,42.774940552677016,22.26925428618241,-1231232498.0,-1028186603.6853783,-0.16691881712858958,-0.019183612964015648,0.43737886385901154,35.714285714285715,100.0,0,0,0,0,0,0
6981.T,Disqualified,MACD fails conditions,10770.0,5042.146720554246,57.30318196457378,47.264318588443466,760329300.0,660757418.5638692,1061.6553641502142,1111.8073478087372,1006.9076842659878,71.42857142857143,21.428571428571427,0,0,0,0,0,0
AESI,Disqualified,+DI <= -DI | MACD fails conditions,17.0,13.921157493077832,50.87618070972344,23.774266848368026,109071500.0,104335229.68515806,-0.2602795055102973,-0.2215542957143368,0.898095679999894,0.0,85.71428571428571,0,0,0,0,0,0
AI.PA,Disqualified,MACD fails conditions,172.86000061035156,169.89453632854463,55.698052058555845,19.408495439682415,-1301434.0,-3957260.3573895157,-0.9816634470197982,-1.9609590565540178,3.2911189963732737,100.0,64.28571428571429,0,0,0,0,0,0
AM,Disqualified,Passed,23.190000534057617,20.176704599344113,71.16714915200198,18.963541876952952,76687200.0,67342041.00531517,0.26320194975575006,0.0820196955425285,0.4789745587099429,100.0,14.285714285714285,5,0,0,5,10,20
APA,Disqualified,+DI <= -DI | MACD fails conditions,33.0099983215332,31.182664612901448,36.40629652185166,20.055798106414038,116092300.0,130804402.26026669,-1.2396698509233204,-0.9663778676946441,1.3858085436468721,28.57142857142857,64.28571428571429,0,0,0,0,0,0
APH,Passed,Passed,163.72000122070312,134.57184415875093,63.0882780551435,31.20773728150063,319868100.0,287849035.1605123,6.75867456066652,6.025654734063558,6.393473169630589,92.85714285714286,0.0,10,10,0,0,10,30
AR,Disqualified,Price <= EMA_200 | MACD fails conditions,35.16999816894531,36.547478025504745,48.68832463260707,16.453284604617533,23972300.0,26339990.457755253,-0.6530090786058835,-0.7820096221625524,1.0721541602006692,0.0,71.42857142857143,0,0,0,0,0,0
AROC,Passed,Passed,41.95000076293945,31.840180082428624,73.76461108495336,23.008821120114778,51170600.0,40852225.18687662,1.082842936856835,0.3538825267170363,1.3671926035834727,100.0,0.0,5,5,0,5,10,25
ARX.TO,Disqualified,+DI <= -DI | MACD fails conditions,29.639999389648438,27.966692945104537,37.3895099133849,18.254303278410926,48989600.0,67979325.51199418,-0.25557480724502213,-0.010837246819369678,0.5371831185917589,21.428571428571427,100.0,0,0,0,0,0,0
ASPN,Disqualified,+DI <= -DI | MACD fails conditions,5.630000114440918,4.818749314378136,48.919534282217576,22.859787713090906,-33021300.0,-31112873.68685853,0.15493883208977355,0.2477450105821059,0.3991772064958629,71.42857142857143,14.285714285714285,0,0,0,0,0,0
AU,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,81.62000274658203,86.03055553340883,41.53588715165364,14.00539177837083,21918800.0,19960223.51606796,-3.032776939199181,-2.4713236041896076,4.934961275004787,57.14285714285714,28.57142857142857,0,0,0,0,0,0
AXIA3.SA,Disqualified,MACD fails conditions,55.619998931884766,54.07802666563194,60.08122497922266,28.315297247013685,377533800.0,364602662.0707739,-0.17693963876942576,-0.8678560405335464,1.4982700442746058,100.0,14.285714285714285,0,0,0,0,0,0
BAS.DE,Disqualified,+DI <= -DI | MACD fails conditions,47.7599983215332,46.78103849743962,35.82724912936028,25.9900994308703,7881559.0,13186503.484451853,-0.699067005766544,-0.6262170046260525,1.1234240046583526,0.0,100.0,0,0,0,0,0,0
BE,Disqualified,+DI <= -DI | MACD fails conditions,252.02000427246094,175.3036727734948,43.04327086516612,20.787796445056067,363788900.0,397430470.95990574,9.180334922427505,9.669893442807926,31.18459711167721,92.85714285714286,21.428571428571427,0,0,0,0,0,0
BEP-UN.TO,Disqualified,MACD fails conditions,49.88999938964844,42.91742364462947,54.49421466956009,24.20056898288766,6203756.0,6266897.887688272,0.4241525089002778,0.498083667675631,1.3898929678860426,0.0,35.714285714285715,0,0,0,0,0,0
BKR,Disqualified,+DI <= -DI | MACD fails conditions,56.560001373291016,56.18262178419855,32.70664889567084,29.450722890211868,249134000.0,280011860.44819814,-1.9899168758485857,-1.3322518963776357,1.9031368907194641,0.0,85.71428571428571,0,0,0,0,0,0
BLDP.TO,Disqualified,+DI <= -DI | MACD fails conditions,5.150000095367432,4.481646778937001,34.11634884674682,27.795612850740945,15981800.0,17544554.541571014,-0.3305513329268539,-0.11913648779004024,0.5613926494465329,7.142857142857142,100.0,0,0,0,0,0,0
BLX.TO,Disqualified,MACD fails conditions,36.97999954223633,32.05124886519802,60.86691350142784,31.06015892563348,11044700.0,10165319.762695545,0.10811976840645343,0.12363331933418989,0.1466098911881139,78.57142857142857,64.28571428571429,0,0,0,0,0,0
CEG,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,264.0199890136719,301.74995267764604,45.480508026959505,15.16145670939452,-58142500.0,-58839470.67701147,-3.4640089266854375,-5.4149494080366605,10.329480034722975,64.28571428571429,21.428571428571427,0,0,0,0,0,0
CEU.TO,Disqualified,MACD fails conditions,16.649999618530273,14.68689370098901,48.61162549265325,20.293823990068027,49793900.0,48737434.4886118,-0.48184883732759687,-0.5469296954808766,0.6490405970586004,0.0,57.14285714285714,0,0,0,0,0,0
CNR,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,81.7699966430664,87.44840440753211,38.73571705339996,20.024402190388294,4703400.0,6995636.201003852,-2.1099895281315355,-1.079706261373322,3.5805863686514505,0.0,92.85714285714286,0,0,0,0,0,0
CWEN,Disqualified,+DI <= -DI | MACD fails conditions,36.86000061035156,35.817366276606485,42.20889367161105,15.582814179273148,25321900.0,20073121.72169993,-0.5296584814161136,-0.3394691423512813,1.2007929000989377,7.142857142857142,85.71428571428571,0,0,0,0,0,0
CWR.L,Disqualified,+DI <= -DI | MACD fails conditions,451.20001220703125,402.8767076427646,33.08769729987232,26.842231681267776,71492679.0,78541254.47615133,-35.44546531411959,-16.61084545211918,62.34082803752984,71.42857142857143,100.0,0,0,0,0,0,0
DEC,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,12.979999542236328,14.191373007587517,38.28913342305932,29.7387660081904,27098500.0,23478451.063349187,-0.5983776246544572,-0.5635175437046175,0.48679231508182796,28.57142857142857,92.85714285714286,0,0,0,0,0,0
DINO,Disqualified,+DI <= -DI | MACD fails conditions,68.29000091552734,57.361730938633215,50.664244594090285,17.344123560835218,39766900.0,38228477.3694262,-0.5342045876899135,-0.17970157538202136,2.4249509219685947,7.142857142857142,71.42857142857143,0,0,0,0,0,0
DTM,Passed,Passed,150.74000549316406,128.46078181345496,70.65171040345126,20.16669524968949,14529300.0,11369790.135286847,1.644672045460851,0.616892912587292,3.2007704765881893,100.0,14.285714285714285,5,5,0,5,10,25
DVN,Disqualified,+DI <= -DI | MACD fails conditions,42.209999084472656,41.730534706314955,39.40327068938338,14.829122500762807,103313400.0,163788863.88853973,-1.035547184254142,-0.9495643703879607,1.4935793429702033,28.57142857142857,64.28571428571429,0,0,0,0,0,0
EDPR.LS,Disqualified,+DI <= -DI | MACD fails conditions,13.5600004196167,12.77858331048001,46.59700371416433,14.64343582413979,33566145.0,32041242.280144528,-0.11932818942640111,-0.10608524192895405,0.36621986946973795,7.142857142857142,50.0,0,0,0,0,0,0
EFX.TO,Disqualified,+DI <= -DI | MACD fails conditions,35.36000061035156,26.90219397082394,52.08463122182887,17.802730392437834,29132000.0,27602321.062335633,-0.058497012122316505,-0.18127348000769508,1.3951827839949291,71.42857142857143,57.14285714285714,0,0,0,0,0,0
EGIE3.SA,Disqualified,MACD fails conditions,34.15999984741211,31.928008944943315,53.12945414402545,11.764739210461752,34613900.0,31444925.285909194,0.13705003232691126,0.15120245223330173,0.9366657360022901,28.57142857142857,21.428571428571427,0,0,0,0,0,0
EMN,Disqualified,+DI <= -DI | MACD fails conditions,70.70999908447266,69.81555951849191,44.91044835623284,11.72691073758733,-39623900.0,-42644841.859639004,-0.5355498270510708,-0.24096002844028397,2.1455567821596655,42.857142857142854,78.57142857142857,0,0,0,0,0,0
ENB.TO,Disqualified,Passed,79.79000091552734,70.27036413006121,61.9605980180644,15.221441019558998,239824200.0,228402393.43036994,0.7523128037949505,0.7054547487256101,1.266153567777592,92.85714285714286,57.14285714285714,10,0,0,5,0,15
ENEL.MI,Passed,Passed,10.097999572753906,9.145880114213009,63.67520612477169,10.926574548578104,400087252.0,322482737.8488917,0.08933980516310847,0.05599418695297721,0.16634515763083643,100.0,7.142857142857142,10,0,0,5,10,25
ENLT.TA,Disqualified,Insufficient History (<250 bars),,,,,,,,,,,,,,,,0
ENPH,Disqualified,+DI <= -DI | MACD fails conditions,47.58000183105469,42.68592483682226,43.49479068819596,21.022656033807294,-45941800.0,-46288357.378539115,-1.2068181057024887,0.42175270173253304,4.73692345193269,0.0,92.85714285714286,0,0,0,0,0,0
ENRG.TA,Disqualified,Insufficient History (<250 bars),,,,,,,,,,,,,,,,0
EOG,Disqualified,+DI <= -DI | MACD fails conditions,132.60000610351562,125.60555640725357,44.57258758555058,12.590036272346955,34830700.0,44913883.89973924,-1.1437078654946333,-0.8236109386826438,3.7900148894007493,21.428571428571427,64.28571428571429,0,0,0,0,0,0
EPD,Disqualified,+DI <= -DI | MACD fails conditions,36.56999969482422,34.78234023533263,43.81500088367704,18.72745571277423,144624300.0,148796995.04855767,-0.39074718806912045,-0.3421972324141209,0.7277655787970853,0.0,50.0,0,0,0,0,0,0
EQT,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,52.70000076293945,56.38574189981625,45.73035901867158,29.07589917508285,30012800.0,38538995.38765888,-1.2397136010949765,-1.4377867510373368,1.335573207847996,0.0,50.0,0,0,0,0,0,0
EQTL3.SA,Disqualified,MACD fails conditions,39.75,38.98405480726692,57.759063766132186,27.620889054542783,-3702900.0,-6543779.644036055,-0.31123209124029927,-0.5757810679927134,1.0339609156859437,100.0,64.28571428571429,0,0,0,0,0,0
ERO.TO,Disqualified,MACD fails conditions,37.61000061035156,36.029005143723246,43.88144925371129,16.38455393830093,15606000.0,15096075.490440102,-0.11507675048795107,0.3594694721373093,2.3475507094951573,50.0,7.142857142857142,0,0,0,0,0,0
ET,Disqualified,+DI <= -DI | MACD fails conditions,19.170000076293945,18.077602680420455,49.47275641151949,19.089630205807957,192618800.0,187590221.68123332,-0.11448861363876262,-0.1318545191614934,0.37277879518939955,0.0,64.28571428571429,0,0,0,0,0,0
ETN,Disqualified,+DI <= -DI,402.67999267578125,373.52017585149133,48.94244739538158,10.401885570924808,30923400.0,32821703.08382727,3.101385993889153,2.70466372641706,17.05893422858511,71.42857142857143,21.428571428571427,0,0,0,0,0,0
ETR,Passed,Passed,115.91000366210938,102.07262150353625,64.18814297502513,17.62280589114032,98028800.0,80003125.12524323,1.0133729241481575,0.3119859198772965,2.122911933539007,100.0,14.285714285714285,10,0,0,5,10,25
EXE,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,88.47000122070312,101.20877730296597,39.867846986074355,25.56815106310348,-39156600.0,-32158350.189611793,-1.8931215322330672,-2.1547456212845653,2.0896063066273247,0.0,64.28571428571429,0,0,0,0,0,0
FANG,Disqualified,+DI <= -DI | MACD fails conditions,179.91000366210938,173.77363857195837,36.71817575669637,15.531585150498005,-14286200.0,-3528067.1088609803,-3.9469990598132085,-2.6386310837032427,5.928452181098294,0.0,100.0,0,0,0,0,0,0
FCEL,Passed,Passed,24.0,11.442555940727651,58.87483756761004,27.911400940527447,172225200.0,156335844.5157094,1.162116714055422,1.0391012584105865,3.5287403103436135,71.42857142857143,7.142857142857142,10,10,10,0,10,40
FLNG,Disqualified,+DI <= -DI | MACD fails conditions,29.479999542236328,27.346895738429595,41.82479844541019,11.42948686716457,6292400.0,7753028.318490826,-0.15177856533470546,-0.12305408522409585,0.782295913400115,35.714285714285715,100.0,0,0,0,0,0,0
FSLR,Disqualified,+DI <= -DI | MACD fails conditions,239.07000732421875,227.23903163780204,41.318368980299525,23.359412428167076,21494400.0,21883778.61276384,-1.154124470187412,4.701382319236808,15.201516416926633,0.0,100.0,0,0,0,0,0,0
GNRC,Disqualified,Passed,278.6199951171875,209.28249689527416,53.397565137233855,16.20022829811641,33560900.0,31779984.076945543,7.079074959790887,6.050220569292838,15.343160598754093,92.85714285714286,21.428571428571427,0,0,0,0,10,10
HASI,Disqualified,+DI <= -DI | MACD fails conditions,39.58000183105469,35.357074690381964,52.3472632281875,14.881099818008511,3953000.0,2096531.2177567743,-0.25687143223615294,-0.44255936387851175,1.0433617970865499,0.0,21.428571428571427,0,0,0,0,0,0
HBM.TO,Disqualified,+DI <= -DI | MACD fails conditions,33.040000915527344,29.747773827049887,39.77734008297989,17.40546026344025,71670900.0,71513999.8141161,-0.42731504655851893,0.4645681095962162,2.241133953348869,35.714285714285715,85.71428571428571,0,0,0,0,0,0
HYLN,Disqualified,+DI <= -DI | MACD fails conditions,4.420000076293945,3.0485483564062306,38.03169382338151,45.87872408499793,61969900.0,70971558.41562173,0.16904996438036068,0.6566043305419863,0.8608963995205184,64.28571428571429,100.0,0,0,0,0,0,0
IBE.MC,Passed,Passed,21.690000534057617,18.826859716689768,81.8146840934803,31.809926103348054,177739688.0,163172775.51381293,0.45363527247170765,0.3260288401160081,0.34569866187760295,100.0,7.142857142857142,-10,10,10,5,10,25
IFX.DE,Disqualified,MACD fails conditions,78.30000305175781,51.11656361371709,51.955520973601004,33.765087995803455,117236525.0,121811096.61680081,2.923357675646571,3.837408992365245,4.474500244823063,71.42857142857143,0.0,0,0,0,0,0,0
IONQ,Disqualified,+DI <= -DI | MACD fails conditions,49.310001373291016,47.28501670176971,39.91056677003137,20.398932759716363,436455300.0,545841710.5344237,-0.9275186389891914,0.7252275933384112,5.31713081386367,7.142857142857142,100.0,0,0,0,0,0,0
ITM.L,Disqualified,+DI <= -DI | MACD fails conditions,111.5,100.99747278943337,34.289171322042264,22.003600470463766,63373177.0,85162632.44052766,-10.139453446591887,-7.219215643035616,11.954144341755862,0.0,100.0,0,0,0,0,0,0
KGS,Passed,Passed,76.2699966430664,53.14478874817528,66.45218528129683,23.538735232032902,56180800.0,45307033.35340473,1.175590755472669,0.3945231827797887,2.76495564937334,100.0,0.0,10,5,0,5,10,30
KMI,Disqualified,Passed,33.189998626708984,30.225436740090963,62.249167093593286,14.956485831087127,250146400.0,215898748.53511792,0.14208083853494458,-0.06342699873040823,0.6872666287927058,100.0,64.28571428571429,10,0,0,5,0,15
KNTK,Disqualified,Passed,49.75,43.25702005503529,62.37754133694013,14.706789829165942,14662400.0,10449835.25017729,0.16127897062006724,-0.23260445995623277,1.5301381342849911,100.0,64.28571428571429,10,0,0,0,0,10
